func_id: 100
=====================================

30	244	对方股东代码	10	2	16	0
31	245	对方帐号类别	1	2	1	1
32	516	成交属性	10	2	32	1
33	538	触发价格	5	2	8	0
34	299	对方分支代码	10	2	16	0
35	298	对方客户代码	10	2	16	0
36	158	对方密码	10	2	12	1
37	485	推荐人代码	10	2	32	0
38	1264	令牌	10	2	512	0
39	106	联系人姓名	10	2	16	0
40	107	联系方式	10	2	32	0
41	397	产品标志	1	2	1	1
42	101	交易所名称	10	2	12	0
43	1285	信息内容	10	2	8192	0
44	1302	检查信息	10	2	256	1
45	1227	参数	10	2	80	1
46	4189	字段引用	10	2	256	0
47	362	页面标识	10	2	256	1
48	1217	备注	10	2	80	0
49	1284	信息标题	10	2	256	0
50	5250	CPU	10	2	800	1
51	5251	HD	10	2	800	1
52	5252	LIP	10	2	800	1
53	5253	系统节点编号	3	2	8	1
54	5254	真实营业部代码	3	2	8	1

0	146	委托编号	10	2	24	0
1	149	返回信息	10	2	80	0
2	1223	检查风险标志	1	2	1	1
3	1213	保留信息	10	2	80	1

func_id: 804
=====================================



func_id: 1102
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	1207	起始序号	3	2	8	0
7	140	证券代码	10	2	8	0
8	1227	参数	10	2	80	1
9	101	交易所名称	10	2	12	0
10	1287	起始行号	3	2	8	1
11	1286	定位字串	10	2	256	1
12	1288	请求行数	3	2	8	1
13	5250	CPU	10	2	800	1
14	5251	HD	10	2	800	1
15	5252	LIP	10	2	800	1
16	5253	系统节点编号	3	2	8	1
17	5254	真实营业部代码	3	2	8	1

0	143	委托时间	9	2	8	0
1	140	证券代码	10	2	8	0
2	141	证券名称	10	2	8	0
3	130	买卖标志	1	2	1	1
4	131	买卖标志	1	2	8	0
5	147	状态说明	10	2	8	0
6	145	委托价格	5	2	8	0
7	144	委托数量	3	2	8	0
8	146	委托编号	10	2	24	0
9	153	成交价格	5	2	8	0
10	152	成交数量	3	2	8	0
11	166	委托方式	1	2	1	1
12	194	报价方式	10	2	40	0
13	123	股东代码	10	2	12	0
14	125	帐号类别	10	2	2	1
15	100	交易所代码	1	2	1	1
16	1213	保留信息	10	2	80	1

func_id: 1108
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	1207	起始序号	3	2	8	0
7	140	证券代码	10	2	8	0
8	155	成交编号	10	2	24	0
9	101	交易所名称	10	2	12	0
